volume,path,title,chars,hash
卷01,content/people/查理·芒格.md,芒格（Charlie Munger）,2607,c315e3777968c409b3f41a36a7fb491b79aa1539ae3462253fa430c6c3b151ac
卷01,content/munger-archive/life.md,生平,1299,7d4090b648db076e2a49bb1b02f760172a6b6756ab996bfdc55832e8edf3e6eb
卷01,content/munger-archive/family.md,家庭,809,3a8d0c9629abdd786f9c63224b3fa576bba55d6b0dab7085557cff6aad4dde73
卷01,content/articles/munger/查理芒格：伯克希尔的总设计师.md,查理芒格：伯克希尔的总设计师,859,74eedabefdbdd96516821ff1108c413ae2cc91cd7a3ae403cfbd3058d61b6631
卷01,content/munger-archive/companies.md,公司,1472,b297bf1068720c4ad4a2a7d2c680b3ed23ba4e8ec11e0e36aefdad229e7fe07e
卷01,content/munger-archive/investing-philosophy.md,投资哲学,1551,acb8725feb1a95b45f34640d2089e9bfc18efeac6d994cc9e2e209f657f147a3
卷01,content/munger-archive/architecture.md,建筑,1238,b3e3c9d23d9309933438d816bfc8d883f5cbb86ca0efc326635556fa6e2218ee
卷01,content/munger-archive/philanthropy.md,慈善,999,27093220e15079d2269c5e90d62d73ce77e188dda2ac5075ae180e65d7e88faf
卷01,content/munger-archive/books.md,书籍,6754,2bdb18b85e95e8aebb3de04995df7bbd567982135bb09ab55728a8c04c25b456
卷02,poor-charlies-almanack/poor-charlies-almanack-forewords.md,《穷查理宝典》——序言,4669,413d7a5c80f738f1e7de06647aa796560bdd9f638e0efc801a039529d13164a6
卷02,poor-charlies-almanack/poor-charlies-almanack-chapter-one.md,查理·芒格肖像,8538,ffcf4003ab5c99184060513f9c6536e4dd5d2074945646980d4c956db70753df
卷02,poor-charlies-almanack/poor-charlies-almanack-chapter-two.md,《穷查理宝典》——第二章,6964,e53935c666c8d2fbbd87a848717c30c322c91c064f84c556b8aa2b17ded89b8f
卷02,poor-charlies-almanack/poor-charlies-almanack-chapter-three.md,《穷查理宝典》——第三章,9554,d872164a25fc0cb2c1b0bd57fcf8c85ef11117a8a5ee1cf8719b67cebe9f0312
卷02,poor-charlies-almanack/poor-charlies-almanack-talk-one.md,芒格：哈佛中学演讲 1986,4365,f41ebcab5f8c989ae77603dce736fbf58d68cc8f2e3f8c17fb2aefec3f7a9263
卷02,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,芒格：南加大商学院演讲 1994,25134,de7ad445955fbe0d32ecc5667fb0f079c5fb13ab9df3d0a720b9d7c72813fd0b
卷02,poor-charlies-almanack/poor-charlies-almanack-talk-three.md,芒格：斯坦福法学院演讲 1996,28385,ca486e6eceb5ae221e1fdb026b8a202654443ee2a42b25a70ca73b964384700e
卷02,poor-charlies-almanack/poor-charlies-almanack-talk-four.md,芒格：关于实践思维的现实思考 1996,8505,d5f5012f8ac01acabe10fab1b1e542de8ed85bde256b9cf3a01764fab2f1aeb5
卷02,poor-charlies-almanack/poor-charlies-almanack-talk-five.md,芒格：哈佛法学院演讲 1998,7360,bd74d600c88025ead40c6845d813607cbb780332012ac6fe084524ee6cfab2fd
卷02,poor-charlies-almanack/poor-charlies-almanack-talk-six.md,芒格：财务总监联合会演讲 1998,6934,fd73a76a45821e4883224be4e43727ea2a2787d524294c5af2667597e6bd09ee
卷02,poor-charlies-almanack/poor-charlies-almanack-talk-seven.md,芒格：慈善圆桌会议讲话 2000,6537,262f2e68cc44bcc6334e26e2f6db658bd1a51c5baead5b0378d45dc8365a83f6
卷02,poor-charlies-almanack/poor-charlies-almanack-talk-eight.md,芒格：2003 年的金融大丑闻,9627,febfbbfa90a596e2c85d38d186807f26eb82305dd7b7b5ddd02b7bdc5fac3256
卷02,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,芒格：论学院派经济学 2003,29519,2dab05d0fe31e2f70c36a6f965691a44afdbc737104cf6cbd09b5f3954842342
卷02,poor-charlies-almanack/poor-charlies-almanack-talk-ten.md,芒格：南加大法学院演讲 2007,13091,2843bb5c3eafb4e09666ee38a657721d9171a504df4dec00eed31d4223bbd073
卷02,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,第十一讲：人类误判心理学,9381,276b0ad8c3e41493c4b27059d7f04eb8b3de2a44db61e6595f0f541e8ab78c02
卷02,poor-charlies-almanack/poor-charlies-almanack-recommended-reading.md,《穷查理宝典》——推荐阅读,1456,ca6d3199b51b239c57ab933cbd5f58a294ed97094a5502dc88bb53d86c80ea11
卷03,content/qa/Wesco_股东大会_1996.md,Wesco_股东大会_1996,9180,255ae5edee294004f0798d84d22c20cea4b8015c816e1a1d16d26391d4d822c1
卷03,content/qa/Wesco_股东大会_1999.md,Wesco 股东大会 1999,1528,8db5b444058602443ca96b7f274c7cec35d42f29a160b4c83e4e3d6c6db2eb75
卷03,content/qa/Wesco_股东大会_2000.md,Wesco 股东大会 2000,1486,e64c7af52d02ee51b9435c4d2f992cff32133803b6aab0d3ca2cb7ed078ba904
卷03,content/qa/Wesco_股东大会_2001.md,Wesco_股东大会_2001,10997,4ae7de9428011a8a3b67ef34f79584cad6f166b3847a6849d6b99d9485ac7e38
卷03,content/qa/Wesco_股东大会_2002.md,Wesco_股东大会_2002,22577,456c89b5f78bfab90720b075dca5c7c4cf164836773c56cec97c3d317d26d8c6
卷03,content/qa/Wesco_股东大会_2003.md,Wesco 股东大会 2003,1360,2e65d3a8518146cb0915676ee337a01534e0c68eedf10ac6c4c325c96e49d758
卷03,content/qa/Wesco_股东大会_2004.md,Wesco_股东大会_2004,21874,cca5d2d85d34554f05268694fc9b04b3864f0af7b16fa4641ef1853a89f4f019
卷03,content/qa/Wesco_股东大会_2005.md,Wesco_股东大会_2005,17756,649b3f888cac79ae497ac0ab42186b9aead70c08fadedce07ae038b95debde08
卷03,content/qa/Wesco_股东大会_2006.md,Wesco_股东大会_2006,17031,dbeeeff3a7faa491c9e9be5b0a7165ae224f0291ce402b63328af94d46a640d1
卷03,content/qa/Wesco_股东大会_2007.md,Wesco 股东大会 2007,1474,ec7b964f05e7fa3734cfb9b8c080b4aa8a114bd9690ca6d1b71a837cd6050547
卷03,content/qa/Wesco_股东大会_2008.md,Wesco_股东大会_2008,16098,0577f7c1881df23ce14c93808f8bffba10c5c84a9887508d09948dfa6dabb460
卷03,content/qa/Wesco_股东大会_2009.md,Wesco_股东大会_2009,13953,4024dbc2984d612706cbd2dfd7dce7d9472fc6a813316dd5129386ec29655379
卷03,content/qa/Wesco_股东大会_2010.md,Wesco 股东大会 2010,1626,96c18662b7248fc66055d8b289156ffd29dd0bec8f7b0cc2ab51cc30b26db105
卷03,content/qa/Wesco_股东大会_2011.md,Wesco_股东大会_2011,17459,ae7fea9ae192d71a7ab3034e5fe409262d3d233ded6a5a328a6abc2737ccea92
卷04,content/munger-archive/daily-journal.md,每日期刊,4809,42c9913e5632a70338414b5b7bc4abcea8855fbfc323892508d41c8b2f96a921
卷04,content/talks/芒格：DJ_年会_2013.md,芒格：DJ 年会 2013,26516,1ccfa00db4f0dd55b7f8852229019226a33ff34ff8512cfd8a9162b47eecad60
卷04,content/munger-archive/recordings/daily-journal-2015.md,每日期刊2015年年会,758,bb0dcf552b3ffd4f70ec4c8855be4b5fe478755ad5b0f5ed33b029b29737df97
卷04,content/munger-archive/recordings/daily-journal-2016.md,每日期刊2016年年会,3774,abf89a06a4e7812ebd4c8886ebeef87df53a5b7db7f2d73ff95b2897fe4c2d61
卷04,content/munger-archive/recordings/daily-journal-2017-fireside.md,2017 年每日期刊大会后的炉边谈话,1335,15e89dba38772c65d04b83a23f64e99e1835271263108e992eed0029e3b5fc66
卷04,content/munger-archive/recordings/daily-journal-2017.md,每日期刊 2017 年股东大会,1330,b69cde6b73bc8e1832897e027cc30b08b0cb74c143c7a7d778c3dbdb7182ba80
卷04,content/munger-archive/recordings/daily-journal-2018.md,每日期刊 2018 年股东大会,3827,021508195b366be437c4c21a2d4d039ade8581fa2ee8796192ff070eaab0d135
卷04,content/munger-archive/recordings/daily-journal-2019.md,2019年每日期刊年度股东会,1248,af853331dc63a3b8f94dbed86424ff557aa3ebe49dc6f5c77664afb3a54700c5
卷04,content/munger-archive/recordings/daily-journal-2020.md,2020年每日期刊年度股东会,1225,f661f04ef74f6f942f6eda08d263edce3c70d2bb664c60b4793e01aed014eeaf
卷04,content/munger-archive/recordings/daily-journal-2021.md,2021年每日期刊年度股东会,1217,39ff1e855ec6409bbe41f9662e859e79fe8adefebbf0e71c3cc62cf43328b549
卷04,content/munger-archive/recordings/daily-journal-2022.md,每日期刊2022年年会,1338,67335a0cec7279d362581c8349c571caf83e6a548c96d0483bc4108444a3cc21
卷04,content/munger-archive/recordings/daily-journal-2023.md,每日期刊2023年年会,916,8c412956ac483fb981842e4c8634008fd1e74971d80a3d3fea1381967ad4542c
卷05,content/munger-archive/recordings/acquired-charlie-munger-2023.md,查理·芒格做客 Acquired 播客（2023）,3801,78a6136217b47d2e86e0fcc8b426571675b3a8880849f2015992bb9f775a39fd
卷05,content/munger-archive/recordings/bbc-boom-and-bust-2009.md,查理·芒格论繁荣与萧条（BBC，2009）,856,e97fc656e4970b08726bfd5d63c63b7c410ccffa428191d261bf52b3b483afb4
卷05,content/munger-archive/recordings/berkshire-2023-annual-meeting.md,伯克希尔-哈撒韦2023年年度股东大会——巴菲特与芒格最后一次同台,858,c944b166e4bc3f54917502d721be642f23c6e091714b9bf4100b58f21a76198e
卷05,content/munger-archive/recordings/caltech-2008.md,加州理工学院杜布里奇杰出讲座（2008）,1061,31a55fb204cc0be0147255f6c60dc68d1407a5f56ace40215bee17daf3ce0e74
卷05,content/munger-archive/recordings/caltech-2020.md,与查理·芒格的一席谈——加州理工学院杰出校友（2020）,1101,0a9fd41c7502c9c13aa204ad8ea3c5bb0e1b58995be08be779fa970fbbae13a5
卷05,content/munger-archive/recordings/cnbc-2019.md,查理·芒格谈投资（CNBC，2019）,912,3421754c363c4c019b0c33d7c99603b589ce0c6f53e054bc05af42ce7bac52b0
卷05,content/munger-archive/recordings/cnbc-final-interview-2023.md,查理·芒格的最后一次CNBC访谈（2023）,4083,414307cb66922e41892ef13ed75b3e1744b9106ae65b610e6d896150688ea4f1
卷05,content/munger-archive/recordings/invest-like-the-best-2023.md,查理·芒格与约翰·科里森（《最好的投资》，2023）,1526,92572ce9720f31ea8b12d7015433997169dbf9a0cfc1422d630322d7bb74a95b
卷05,content/munger-archive/recordings/michigan-2011.md,与查理·芒格的对话（密歇根大学，2011年）,992,9be18fb657c2eed397c6fd88826c9a71691cbfe9a505beb9e8781a0368ddf7ae
卷05,content/munger-archive/recordings/michigan-ross-2017.md,与查理·芒格的对话（密歇根罗斯商学院，2017年）,1082,531d8e4f5209a8345fb0a28d209b79bdba4ff5622ac7b89a46fce8cd94c724e9
卷05,content/munger-archive/recordings/munger-li-lu-2018.md,查理·芒格与李录谈中国（2018年）,1082,92a07b47ba89e4502f5c5a48e7dad120d3ad53908a56102e5d482f65d1f4bfda
卷05,content/munger-archive/recordings/power-of-partnership-2016.md,与沃伦·巴菲特合伙的力量（2016）,895,c57f1d03f64c300f0cacd2212a52437c9a3f616f84ddb073c5dac8c2afbcc329
卷05,content/munger-archive/recordings/singleton-prize-2022.md,论领导力与资本配置，与托德·库姆斯对谈（2022）,1075,4dedc1a78ffe8704265fec26591e7cba24fcd4ed8bfafed04b019ac9084d1b17
卷05,content/munger-archive/recordings/stanford-grundfest-2009.md,当前的经济危机——芒格与约瑟夫·格伦德费斯特对谈（斯坦福，2009）,839,e6bbee912c0544a0aac52374f0542ded974a36215c7aba3341b6cb25d697622f
卷05,content/munger-archive/recordings/wsj-unplugged-2019.md,查理·芒格，畅所欲言（《华尔街日报》/ 杰森·茨威格，2019）,2282,869ce22ddd00430a22594beff116150ad738ccd5b224e141d2371da8b26da5fe
卷05,content/munger-archive/recordings/yahoo-2019-china.md,查理·芒格谈中国崛起与埃隆·马斯克（雅虎财经，2019）,963,361b6b0cb85c6fc5cf57e3508edbd14ec7d87a0f13b20cb0df82a0010cfe0f2c
卷05,content/munger-archive/recordings/yahoo-2019-wealth.md,查理·芒格谈投资与成就财富的人生抉择（2019）,956,a6388f0637bc654cf0ba74d36b1c8723f9eb060ff17041e621c8e0ea9c08d9ac
卷05,content/munger-archive/recordings/berkshire-hathaway-annual-meetings.md,伯克希尔-哈撒韦年度股东大会（1994年至今）,1368,a2dbb636e29be721d51f314776711587e4314b4f83caa713700f931af7d56a66
卷06,content/models/avoiding-ideology.md,避免意识形态偏见,8967,d00974f138a6da5138c3cf52c980297e19013d9ad30f7de589fdb0478a894c50
卷06,content/models/avoiding-stupidity-over-seeking-brilliance.md,避蠢优于求智,6729,8afb785b8a53c442fe3e1a6771c7f60ed350182966650bfd407f2fb23d78315a
卷06,content/models/checklist-method.md,检查清单方法,7312,41793f0b74f745222fd69988a94b159b5b7eba789784ff2b17fd7c29709f89a6
卷06,content/models/circle-of-competence-metacognitive-level.md,能力圈（元认知层面）,6053,18c5d66168e5e6aa32a00cdb0d9fd8148d8e765c11a4884e23e47e718c06bbbc
